,0
right1to2,725
right2to3,714
gustyRight1to2,701
gustyRight2to3,700
noWind,697
gustyRight3to4,697
right3to4,693
gustyRight4to5,686
gustySides1to2,679
gustyLeft1to2,669
right4to5,668
left1to2,664
sides1to2,661
gustySides2to3,647
gustyLeft2to3,617
sides2to3,597
left2to3,595
gustySides3to4,566
gustyLeft3to4,535
sides3to4,508
left3to4,447
gustySides4to5,339
sides4to5,276
gustyLeft4to5,268
left4to5,92
