pureEnv,left1to2,left2to3,left3to4,left4to5,gustyLeft1to2,gustyLeft2to3,gustyLeft3to4,gustyLeft4to5,right1to2,right2to3,right3to4,right4to5,gustyRight1to2,gustyRight2to3,gustyRight3to4,gustyRight4to5,sides1to2,sides2to3,sides3to4,sides4to5,gustySides1to2,gustySides2to3,gustySides3to4,gustySides4to5
928.32,904.64,895.67,489.11,-41.98,921.77,912.77,776.48,128.87,917.31,907.01,886.25,881.5,917.85,914.63,905.97,897.62,909.8,904.32,841.62,237.49,917.53,913.51,859.79,393.77
17.81,46.2,15.43,309.94,61.95,22.79,22.62,185.82,142.4,23.91,24.57,37.57,15.44,36.31,24.47,39.9,24.32,47.61,23.05,144.13,233.77,19.83,29.23,76.38,292.35
