pureEnv,left1to2,left2to3,left3to4,left4to5,gustyLeft1to2,gustyLeft2to3,gustyLeft3to4,gustyLeft4to5,right1to2,right2to3,right3to4,right4to5,gustyRight1to2,gustyRight2to3,gustyRight3to4,gustyRight4to5,sides1to2,sides2to3,sides3to4,sides4to5,gustySides1to2,gustySides2to3,gustySides3to4,gustySides4to5
826.91,845.27,857.1,791.81,257.01,845.54,865.33,840.29,737.23,814.47,799.78,792.43,784.46,821.05,813.69,818.95,807.13,838.21,830.12,827.52,779.41,835.94,826.97,829.22,756.95
30.51,59.33,46.55,102.68,220.25,33.83,35.31,89.69,127.31,32.72,40.81,30.93,39.46,43.91,39.48,28.69,31.3,40.49,49.3,57.6,138.08,37.13,35.47,45.82,118.22
