pureEnv,left1to2,left2to3,left3to4,left4to5,gustyLeft1to2,gustyLeft2to3,gustyLeft3to4,gustyLeft4to5,right1to2,right2to3,right3to4,right4to5,gustyRight1to2,gustyRight2to3,gustyRight3to4,gustyRight4to5,sides1to2,sides2to3,sides3to4,sides4to5,gustySides1to2,gustySides2to3,gustySides3to4,gustySides4to5
91.85,454.18,779.68,868.44,30.53,220.3,248.38,434.73,360.27,-44.72,-55.05,-68.47,-73.62,11.6,-48.26,-43.15,-53.92,67.5,44.14,-12.0,-18.52,148.1,264.82,240.19,-4.38
57.33,97.31,148.71,69.62,112.63,96.25,122.64,177.43,202.09,36.27,28.17,19.34,16.46,60.07,35.71,41.67,31.43,88.04,94.55,91.14,52.17,110.43,181.95,191.6,83.33
